,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
1450,2021-01-01 00:36,Housefires,I’ll Give Thanks - Live,536653,Housefires:I’ll Give Thanks - Live,0,,
1451,2021-01-01 00:44,Elevation Worship,Graves Into Gardens (Live),452499,Elevation Worship:Graves Into Gardens (Live),0,,
1452,2021-01-01 00:48,Bethel Music,Stand in Your Love (Live),248760,Bethel Music:Stand in Your Love (Live),0,,
1453,2021-01-01 00:56,Leeland,Way Maker - Live,503240,Leeland:Way Maker - Live,0,,
1454,2021-01-01 01:01,Bethel Music,Goodness of God (Live),296400,Bethel Music:Goodness of God (Live),0,,
1455,2021-01-01 01:08,Bethel Music,It Is Well - Live,385053,Bethel Music:It Is Well - Live,0,,
1456,2021-01-01 01:16,Bethel Music,Raise a Hallelujah (Live),470880,Bethel Music:Raise a Hallelujah (Live),0,,
1457,2021-01-01 01:20,Passion,How He Loves - Live,283293,Passion:How He Loves - Live,0,,
1458,2021-01-01 01:26,North Point Worship,Death Was Arrested - Live,354493,North Point Worship:Death Was Arrested - Live,0,,
1459,2021-01-01 01:32,Leeland,Better Word - Live,380626,Leeland:Better Word - Live,0,,
1460,2021-01-01 01:37,Mosaic MSC,Tremble - Live,309093,Mosaic MSC:Tremble - Live,0,,
1461,2021-01-01 01:42,Passion,Glorious Day - Live,298520,Passion:Glorious Day - Live,0,,
1462,2021-01-01 01:48,Hillsong Worship,O Praise The Name (Anástasis) - Live,329213,Hillsong Worship:O Praise The Name (Anástasis) - Live,0,,
1463,2021-01-01 01:58,Housefires,Lift You High - Live,477513,Housefires:Lift You High - Live,0,,
1464,2021-01-01 03:04,Jesus Culture,Holy Spirit - Live,176279,Jesus Culture:Holy Spirit - Live,0,,
1465,2021-01-01 04:57,Jesus Culture,Holy Spirit - Live,312743,Jesus Culture:Holy Spirit - Live,0,,
1466,2021-01-01 05:02,Hillsong Worship,No One But You - Live,280854,Hillsong Worship:No One But You - Live,0,,
1467,2021-01-01 05:16,Hillsong Worship,No One But You - Live,241272,Hillsong Worship:No One But You - Live,0,,
1468,2021-01-01 05:24,Hillsong UNITED,Whole Heart (Hold Me Now) - Live,481802,Hillsong UNITED:Whole Heart (Hold Me Now) - Live,0,,
1469,2021-01-01 05:28,Vertical Worship,Yes I Will,234731,Vertical Worship:Yes I Will,0,,
1470,2021-01-01 05:37,Bethel Music,Champion - Live,526890,Bethel Music:Champion - Live,0,,
1471,2021-01-01 05:42,New Wine Worship,This Is Love - Live,320683,New Wine Worship:This Is Love - Live,0,,
1472,2021-01-01 05:48,Elevation Worship,See A Victory,363230,Elevation Worship:See A Victory,0,,
1473,2021-01-01 05:55,Hillsong UNITED,Another In The Fire - Live,393360,Hillsong UNITED:Another In The Fire - Live,0,,
1474,2021-01-01 06:00,Pat Barrett,Build My Life - Live,325346,Pat Barrett:Build My Life - Live,0,,
1475,2021-01-01 06:08,Elevation Worship,Resurrecting (Live),467062,Elevation Worship:Resurrecting (Live),0,,
1476,2021-01-01 06:14,Elevation Worship,O Come to the Altar (Live),349586,Elevation Worship:O Come to the Altar (Live),0,,
1477,2021-01-01 06:23,Hillsong Worship,Broken Vessels (Amazing Grace) - Live,568786,Hillsong Worship:Broken Vessels (Amazing Grace) - Live,1,No Other Name,2BuhGnXpqMQ8BvOUZpmaVl
1478,2021-01-01 06:28,Passion,There’s Nothing That Our God Can’t Do - Live,303653,Passion:There’s Nothing That Our God Can’t Do - Live,0,,
1479,2021-01-01 06:35,Hillsong Worship,So Will I (100 Billion X) - Live,424386,Hillsong Worship:So Will I (100 Billion X) - Live,0,,
1480,2021-01-01 06:42,Citipointe Worship,Into the Deep (Live),388133,Citipointe Worship:Into the Deep (Live),1,Into the Deep (Live),01GHOdYIsJfrFBqsPpXd6k
1481,2021-01-01 06:48,Hillsong Worship,Who You Say I Am - Live,4646,Hillsong Worship:Who You Say I Am - Live,1,There Is More,2lUgap86Pux7qAgvWzuJWs
1482,2021-01-01 06:48,Vertical Worship,Exalted Over All - Live,383293,Vertical Worship:Exalted Over All - Live,0,,
1483,2021-01-01 15:25,Hillsong Worship,Who You Say I Am - Live,221906,Hillsong Worship:Who You Say I Am - Live,1,There Is More,2lUgap86Pux7qAgvWzuJWs
1484,2021-01-01 15:34,Hillsong Worship,Who You Say I Am - Live,102526,Hillsong Worship:Who You Say I Am - Live,1,There Is More,2lUgap86Pux7qAgvWzuJWs
1485,2021-01-01 15:39,Futures,† (just the cross) - Live,177501,Futures:† (just the cross) - Live,0,,
1486,2021-01-01 15:59,Futures,† (just the cross) - Live,220833,Futures:† (just the cross) - Live,0,,
1487,2021-01-01 16:03,Casting Crowns,Good Good Father - Live,250112,Casting Crowns:Good Good Father - Live,0,,
1488,2021-01-01 16:33,Casting Crowns,Good Good Father - Live,129112,Casting Crowns:Good Good Father - Live,0,,
1489,2021-01-01 16:38,Chris McClarney,Valley - Live,291473,Chris McClarney:Valley - Live,0,,
